Sermon Title,Audio URL
Believer's Authority 1 (14-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%201%20%2814-08-16%29.mp3
Believer's Authority 10 - Power in the Name of Jesus 2 (14-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%2010%20-%20Power%20in%20the%20Name%20of%20Jesus%202%20%2814-09-16%29.mp3
Believer's Authority 11 (18-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%2011%20%2818-09-16%29.mp3
Believer's Authority 12 (25-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%2012%20%2825-09-16%29.mp3
Believer's Authority 2 (17-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%202%20%2817-08-16%29.mp3
Believer's Authority 3 (21-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%203%20%2821-08-16%29.mp3
Believer's Authority 4 (24-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%204%20%2824-08-16%29.mp3
Believer's Authority 5 (28-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%205%20%2828-08-16%29.mp3
Believer's Authority 6 (31-08-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%206%20%2831-08-16%29.mp3
Believer's Authority 7 (04-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%207%20%2804-09-16%29.mp3
Believer's Authority 8 (07-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%208%20%2807-09-16%29.mp3
Believer's Authority 9 - Power in the Name of Jesus 1 (11-09-16),https://archive.org/download/clc-2016-sermons/Believer%27s%20Authority%209%20-%20Power%20in%20the%20Name%20of%20Jesus%201%20%2811-09-16%29.mp3
Choose your Words Rightly,https://archive.org/download/clc-2016-sermons/Choose%20your%20Words%20Rightly.mp3
Dealing with Spiritual Fatigue (14-02-16),https://archive.org/download/clc-2016-sermons/Dealing%20with%20Spiritual%20Fatigue%20%2814-02-16%29.mp3
Entreprenurial and Business (20-03-16),https://archive.org/download/clc-2016-sermons/Entreprenurial%20and%20Business%20%2820-03-16%29.mp3
Foundation of Enterprise (06-03-16),https://archive.org/download/clc-2016-sermons/Foundation%20of%20Enterprise%20%2806-03-16%29.mp3
Freedom Conference 2016 - Service and Ministry (12-11-16),https://archive.org/download/clc-2016-sermons/Freedom%20Conference%202016%20-%20Service%20and%20Ministry%20%2812-11-16%29.mp3
Freedom Conference 2016 - Spirit of Followership (12-11-16),https://archive.org/download/clc-2016-sermons/Freedom%20Conference%202016%20-%20Spirit%20of%20Followership%20%2812-11-16%29.mp3
Freedom Conference 2016 - The Word of Faith 1 (11-11-16),https://archive.org/download/clc-2016-sermons/Freedom%20Conference%202016%20-%20The%20Word%20of%20Faith%201%20%2811-11-16%29.mp3
Freedom Conference 2016 - The Word of Faith 2 (13-11-16),https://archive.org/download/clc-2016-sermons/Freedom%20Conference%202016%20-%20The%20Word%20of%20Faith%202%20%2813-11-16%29.mp3
Freedom from Fear (06-04-16),https://archive.org/download/clc-2016-sermons/Freedom%20from%20Fear%20%2806-04-16%29.mp3
Freedom of Grace (12-02-16),https://archive.org/download/clc-2016-sermons/Freedom%20of%20Grace%20%2812-02-16%29.mp3
"Giving, The Lifestyle of a Christian (01-05-16)",https://archive.org/download/clc-2016-sermons/Giving%2C%20The%20Lifestyle%20of%20a%20Christian%20%2801-05-16%29.mp3
Growing in Faith,https://archive.org/download/clc-2016-sermons/Growing%20in%20Faith.mp3
How to Partner with the Word (20-11-16),https://archive.org/download/clc-2016-sermons/How%20to%20Partner%20with%20the%20Word%20%2820-11-16%29.mp3
Intercessory Prayer 1 (08-05-16),https://archive.org/download/clc-2016-sermons/Intercessory%20Prayer%201%20%2808-05-16%29.mp3
Intercessory Prayer 2 (15-05-16),https://archive.org/download/clc-2016-sermons/Intercessory%20Prayer%202%20%2815-05-16%29.mp3
Intercessory Prayer 4 - Praying for Others (22-05-16),https://archive.org/download/clc-2016-sermons/Intercessory%20Prayer%204%20-%20Praying%20for%20Others%20%2822-05-16%29.mp3
Intercessory Prayer 5 - Recognising Burdens (25-05-16),https://archive.org/download/clc-2016-sermons/Intercessory%20Prayer%205%20-%20Recognising%20Burdens%20%2825-05-16%29.mp3
Keeping Your Walk With God and The Word of God 1 (07-02-16),https://archive.org/download/clc-2016-sermons/Keeping%20Your%20Walk%20With%20God%20and%20The%20Word%20of%20God%201%20%2807-02-16%29.mp3
Keeping Your Walk With God and The Word of God 2 (10-02-16),https://archive.org/download/clc-2016-sermons/Keeping%20Your%20Walk%20With%20God%20and%20The%20Word%20of%20God%202%20%2810-02-16%29.mp3
Keeping the Word and Your Walk with God,https://archive.org/download/clc-2016-sermons/Keeping%20the%20Word%20and%20Your%20Walk%20with%20God.mp3
Kings & Priests 1 (11-12-16),https://archive.org/download/clc-2016-sermons/Kings%20%26%20Priests%201%20%2811-12-16%29.mp3
Kings & Priests 2 (14-12-16),https://archive.org/download/clc-2016-sermons/Kings%20%26%20Priests%202%20%2814-12-16%29.mp3
Kings & Priests 3 (18-12-16),https://archive.org/download/clc-2016-sermons/Kings%20%26%20Priests%203%20%2818-12-16%29.mp3
Kings & Priests 4 (21-12-16),https://archive.org/download/clc-2016-sermons/Kings%20%26%20Priests%204%20%2821-12-16%29.mp3
Living in Honour 1 (05-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%201%20%2805-06-16%29.mp3
Living in Honour 2 (12-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%202%20%2812-06-16%29.mp3
Living in Honour 3 (08-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%203%20%2808-06-16%29.mp3
Living in Honour 4 (15-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%204%20%2815-06-16%29.mp3
Living in Honour 5 - The Hypocracy of Corhban (19-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%205%20-%20The%20Hypocracy%20of%20Corhban%20%2819-06-16%29.mp3
Living in Honour 7 - Honouring God (26-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%207%20-%20Honouring%20God%20%2826-06-16%29.mp3
Living in Honour 8 (29-06-16),https://archive.org/download/clc-2016-sermons/Living%20in%20Honour%208%20%2829-06-16%29.mp3
My Life My Church 1 (02-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%201%20%2802-10-16%29.mp3
My Life My Church 2 (05-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%202%20%2805-10-16%29.mp3
My Life My Church 3 (09-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%203%20%2809-10-16%29.mp3
My Life My Church 4 (12-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%204%20%2812-10-16%29.mp3
My Life My Church 5 (16-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%205%20%2816-10-16%29.mp3
My Life My Church 6 (19-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%206%20%2819-10-16%29.mp3
My Life My Church 7 (23-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%207%20%2823-10-16%29.mp3
My Life My Church 8 (26-10-16),https://archive.org/download/clc-2016-sermons/My%20Life%20My%20Church%208%20%2826-10-16%29.mp3
